features:,relative_day,,,,,,
response:,up_cat,,,,,,
,apple,amazon,facebook,google,microsoft,netflix,tesla
3,0.174603175,0.26984127,0.238095238,0.222222222,0.333333333,0.301587302,0.222222222
4,0.285714286,0.317460317,0.26984127,0.166666667,0.365079365,0.301587302,0.19047619
5,0.301587302,0.412698413,0.365079365,0.333333333,0.396825397,0.349206349,0.222222222
6,0.380952381,0.412698413,0.365079365,0.5,0.396825397,0.349206349,0.349206349
7,0.333333333,0.412698413,0.396825397,0.277777778,0.428571429,0.412698413,0.428571429
8,0.412698413,0.444444444,0.444444444,0.277777778,0.46031746,0.412698413,0.380952381
9,0.412698413,0.396825397,0.428571429,0.277777778,0.428571429,0.380952381,0.365079365
10,0.444444444,0.492063492,0.412698413,0.277777778,0.444444444,0.412698413,0.365079365
11,0.476190476,0.53968254,0.365079365,0.277777778,0.412698413,0.349206349,0.301587302
,,,,,,,
features:,past_3_days_senti_avg,,,,,,
response:,up_cat,,,,,,
,apple,amazon,facebook,google,microsoft,netflix,tesla
3,0.380952381,0.380952381,0.333333333,0.388888889,0.476190476,0.26984127,0.380952381
4,0.444444444,0.555555556,0.349206349,0.444444444,0.476190476,0.365079365,0.396825397
5,0.476190476,0.507936508,0.492063492,0.388888889,0.53968254,0.317460317,0.380952381
6,0.492063492,0.523809524,0.507936508,0.388888889,0.555555556,0.365079365,0.46031746
7,0.476190476,0.555555556,0.46031746,0.5,0.507936508,0.412698413,0.428571429
8,0.492063492,0.53968254,0.428571429,0.5,0.53968254,0.428571429,0.412698413
9,0.46031746,0.603174603,0.46031746,0.5,0.603174603,0.428571429,0.476190476
10,0.46031746,0.619047619,0.476190476,0.5,0.555555556,0.428571429,0.46031746
11,0.46031746,0.619047619,0.396825397,0.5,0.619047619,0.444444444,0.476190476
,,,,,,,
features:,relative_day,past_3_days_senti_avg,,,,,
response:,up_cat,,,,,,
,apple,amazon,facebook,google,microsoft,netflix,tesla
3,0.19047619,0.26984127,0.238095238,0.222222222,0.317460317,0.285714286,0.222222222
4,0.285714286,0.317460317,0.285714286,0.222222222,0.380952381,0.285714286,0.19047619
5,0.317460317,0.396825397,0.396825397,0.333333333,0.412698413,0.349206349,0.26984127
6,0.380952381,0.428571429,0.365079365,0.5,0.396825397,0.349206349,0.349206349
7,0.333333333,0.396825397,0.396825397,0.277777778,0.428571429,0.396825397,0.428571429
8,0.412698413,0.444444444,0.444444444,0.277777778,0.46031746,0.412698413,0.380952381
9,0.412698413,0.428571429,0.428571429,0.277777778,0.428571429,0.396825397,0.365079365
10,0.444444444,0.492063492,0.380952381,0.277777778,0.444444444,0.428571429,0.349206349
11,0.46031746,0.53968254,0.365079365,0.277777778,0.412698413,0.365079365,0.301587302
