,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
0,-61,0.0,0,google,0.09080699123152383,0.0,0.0,2569,233.28316047378473,{'$numberInt': '0'},{'$numberInt': '0'},1075.8,1083.97,1062.46,1070.0,1482000
1,-60,-0.011411214953271062,-1,google,0.055084906893859954,0.012972427318789118,0.03026899707717461,1533,84.4451622682873,{'$numberInt': '0'},{'$numberInt': '0'},1073.73,1082.97,1054.61,1057.79,1839000
2,-57,0.0,0,google,0.08083693417656142,0.020841699732197683,0.018361635631286653,993,80.27107563732548,{'$numberInt': '0'},{'$numberInt': '0'},1055.0,1058.47,1021.24,1040.09,2441400
3,-56,0.015114076666442355,1,google,0.1029119444250491,0.03238983318599217,0.02694564472552047,1240,127.61081108706088,{'$numberInt': '0'},{'$numberInt': '0'},1039.48,1064.34,1038.07,1055.81,1233300
4,-55,0.035593525350205206,1,google,0.14731392063994053,0.04709153953242776,0.06124962620053684,1054,155.26887235449732,{'$numberInt': '0'},{'$numberInt': '0'},1069.0,1095.46,1065.9,1093.39,2058400
5,-54,-0.01005130831633727,-1,google,0.10652792068912033,0.06813638533813356,0.11035426641385034,1067,113.66529137529139,{'$numberInt': '0'},{'$numberInt': '0'},1091.38,1093.27,1072.2,1082.4,1488200
6,-53,-0.015012934220251292,-1,google,0.08476815686402141,0.07038223240350447,0.1189179285847033,931,78.91915404040392,{'$numberInt': '0'},{'$numberInt': '0'},1073.99,1075.56,1053.11,1066.15,1343200
7,-50,0.0,0,google,0.08581518744873887,0.07462269668495611,0.028256052288007136,994,85.30029632404643,{'$numberInt': '0'},{'$numberInt': '0'},1061.39,1062.12,1031.0,1038.63,1471800
8,-49,-0.002484041477715986,0,google,0.0543600019830696,0.07533387572383861,0.028605062482912957,1229,66.80844243719254,{'$numberInt': '0'},{'$numberInt': '0'},1043.29,1056.6,1031.15,1036.05,1513700
9,-48,0.0073452053472324,0,google,0.07792722428185087,0.06839788394641295,0.04672506314393615,1540,120.00792539405033,{'$numberInt': '0'},{'$numberInt': '0'},1050.0,1054.56,1031.0,1043.66,1565900
10,-47,0.0201694038288331,1,google,0.07619108234764008,0.05848549875240015,0.07270080457121977,1117,85.10543898231397,{'$numberInt': '0'},{'$numberInt': '0'},1044.71,1071.85,1031.78,1064.71,1836100
11,-46,-0.0030242976960862837,0,google,0.09580062599027658,0.05415166470361726,0.06949276953752019,959,91.87280032467524,{'$numberInt': '0'},{'$numberInt': '0'},1059.41,1067.0,1048.98,1061.49,1658100
12,-43,0.0,0,google,0.07191710739621222,0.05572773172165372,0.03193354199675886,1011,72.70819557757056,{'$numberInt': '0'},{'$numberInt': '0'},1057.2,1060.79,1016.26,1020.0,1858600
13,-42,0.005647058823529403,0,google,0.07909895266092046,0.05374229171414991,0.02397236913207074,1057,83.60759296259292,{'$numberInt': '0'},{'$numberInt': '0'},1000.0,1031.74,996.02,1025.76,2449100
14,-41,0.01155240992044914,1,google,0.09232006031665349,0.05727642752527146,0.0503386866857109,954,88.07333754208743,{'$numberInt': '0'},{'$numberInt': '0'},1036.76,1048.56,1033.47,1037.61,1534300
15,-39,0.0,0,google,0.07715246273993251,0.048448106623437535,0.05713967099252465,767,59.175938921528235,{'$numberInt': '0'},{'$numberInt': '0'},1030.0,1037.59,1022.4,1023.88,691500
16,-36,0.0,0,google,0.05554371200649986,0.045784083301959815,0.025717487579977504,1216,67.54115379990382,{'$numberInt': '0'},{'$numberInt': '0'},1038.35,1049.31,1033.91,1048.62,1942800
17,-35,-0.004014800404340761,0,google,0.07398782543962631,0.043445026817715185,0.018514570668833285,1180,87.30563401875905,{'$numberInt': '0'},{'$numberInt': '0'},1041.0,1057.58,1038.49,1044.41,1803200
18,-34,0.040041746057582685,1,google,0.09845777060946961,0.04271486578610174,0.04317717914870872,1030,101.4115037277537,{'$numberInt': '0'},{'$numberInt': '0'},1048.76,1086.84,1035.76,1086.23,2475400
19,-33,0.0019056737523360028,0,google,0.06733337179568796,0.043591681542218326,0.07599643601853193,1088,73.2587085137085,{'$numberInt': '0'},{'$numberInt': '0'},1076.08,1094.24,1076.0,1088.3,1468900
20,-32,0.005632638059358733,0,google,0.07654919947777102,0.05321073465588804,0.07992632261492796,1260,96.45199134199149,{'$numberInt': '0'},{'$numberInt': '0'},1089.07,1095.57,1077.88,1094.43,2580200
21,-29,0.0,0,google,0.10149989165523324,0.05312455418986497,0.025516399825923672,1376,139.66385091760094,{'$numberInt': '0'},{'$numberInt': '0'},1123.14,1124.65,1103.67,1106.43,1991200
22,-28,-0.05026074853357205,-2,google,0.10017552657943213,0.0596897227111126,0.03383329721841108,1133,113.4988716144966,{'$numberInt': '0'},{'$numberInt': '0'},1103.12,1104.42,1049.98,1050.82,2345200
23,-26,0.0,0,google,0.06704325617810103,0.04936542707258919,0.06722513941155513,1257,84.27337301587299,{'$numberInt': '0'},{'$numberInt': '0'},1034.26,1071.2,1030.77,1068.73,2769200
24,-25,-0.030082434291168105,-1,google,0.08816486610192016,0.04932398198436249,0.05573959425251105,981,86.48973364598368,{'$numberInt': '0'},{'$numberInt': '0'},1060.01,1075.26,1028.5,1036.58,2101200
25,-8,0.0,0,google,0.1214764588869795,0.0,0.0,461,56.00064754689755,{'$numberInt': '0'},{'$numberInt': '0'},973.9,1003.54,970.11,976.22,1590300
26,-6,0.0,0,google,0.01523158247579808,0.01735377984099707,0.0404921529623265,1383,21.065278564028745,{'$numberInt': '0'},{'$numberInt': '0'},989.01,1040.0,983.0,1039.46,2373300
27,-5,0.00425220787716706,0,google,-0.05352982780425921,0.019529720194682514,0.04556934712092586,1187,-63.53990560365568,{'$numberInt': '0'},{'$numberInt': '0'},1017.15,1043.89,997.0,1043.88,2109800
28,-4,-0.006514158715561349,0,google,0.059716375077422265,0.011882601936931195,-0.01276608177615371,869,51.89352994227995,{'$numberInt': '0'},{'$numberInt': '0'},1049.62,1055.56,1033.1,1037.08,1414800
29,-1,0.0,0,google,0.05690526233139871,0.02041351266227723,0.019905458359140756,814,46.320883537758554,{'$numberInt': '0'},{'$numberInt': '0'},1050.96,1052.7,1023.59,1035.61,1493300
30,1,0.0,0,google,0.03877094866227607,0.011189056011479976,0.018968420777132903,1179,45.71094847282348,{'$numberInt': '0'},{'$numberInt': '0'},1016.57,1052.32,1015.71,1045.85,1532600
31,2,-0.028484008222976493,-1,google,0.06707756690617518,0.014551822609548262,0.031892070331224924,485,32.532619949494965,{'$numberInt': '0'},{'$numberInt': '0'},1041.0,1056.98,1014.07,1016.06,1841100
32,8,0.0,0,google,0.06150289851568508,0.01512121650977875,0.0,567,34.87214345839344,{'$numberInt': '0'},{'$numberInt': '0'},1081.65,1082.63,1066.4,1074.66,1199300
33,9,-0.004029181322464923,0,google,0.037263397879069404,0.018368637917408608,0.020500966171895025,1273,47.436305500055354,{'$numberInt': '0'},{'$numberInt': '0'},1067.66,1071.15,1057.71,1070.33,1456400
34,13,0.0,0,google,0.027380952380952405,0.014109470913536355,0.0,28,0.7666666666666674,{'$numberInt': '0'},{'$numberInt': '0'},1046.92,1051.53,1041.26,1044.69,1144300
35,14,0.03107141831548118,1,google,0.04294092086246652,0.018021035539386696,0.009126984126984134,854,36.67154641654641,{'$numberInt': '0'},{'$numberInt': '0'},1050.17,1080.05,1047.34,1077.15,1463600
36,15,0.0035463955809311013,0,google,0.043889305738340476,0.024155452805453344,0.023440624414472977,2046,89.79751954064461,{'$numberInt': '0'},{'$numberInt': '0'},1080.0,1092.38,1079.34,1080.97,1331800
37,16,0.008261098827904627,0,google,0.06076919501109313,0.02163922526583269,0.0380703929939198,1512,91.88302285677281,{'$numberInt': '0'},{'$numberInt': '0'},1079.47,1091.8,1073.5,1089.9,1242700
38,17,0.007670428479676942,0,google,0.04468581445032243,0.02499719628469322,0.04919980720396672,1189,53.13143338143337,{'$numberInt': '0'},{'$numberInt': '0'},1100.0,1108.35,1090.9,1098.26,1955600
39,21,0.0,0,google,0.07770093204733336,0.02746931943746037,0.0,1049,81.50827771765269,{'$numberInt': '0'},{'$numberInt': '0'},1088.0,1091.51,1063.47,1070.52,1613500
40,22,0.004717333632253442,0,google,0.08276193373726784,0.03243503532101277,0.025900310682444454,1272,105.2731797138047,{'$numberInt': '0'},{'$numberInt': '0'},1077.35,1084.93,1059.75,1075.57,967000
41,23,-0.001552665098505765,0,google,0.07743116636211557,0.03798826789228811,0.0534876219282004,1164,90.12987764550252,{'$numberInt': '0'},{'$numberInt': '0'},1076.48,1079.47,1060.7,1073.9,1361300
42,24,0.015913958469131125,1,google,0.06798794678341284,0.04036854951386275,0.07929801071557226,987,67.10410347522847,{'$numberInt': '0'},{'$numberInt': '0'},1085.0,1094.0,1081.82,1090.99,1119100
43,27,0.0,0,google,0.08507710059063076,0.04369742556144708,0.022662648927804282,813,69.1676827801828,{'$numberInt': '0'},{'$numberInt': '0'},1080.11,1083.0,1063.8,1070.08,1284300
44,28,-0.008840460526315824,0,google,0.06338904711273129,0.05585129707439433,0.028359033530210253,570,36.131756854256835,{'$numberInt': '0'},{'$numberInt': '0'},1072.68,1075.15,1055.86,1060.62,1021800
45,29,0.02681450472365226,1,google,0.059327583830507825,0.05380674208373689,0.049488715901120674,1197,71.01511784511787,{'$numberInt': '0'},{'$numberInt': '0'},1068.43,1091.0,1066.85,1089.06,1279800
46,30,0.025076671625071115,1,google,0.06383108876513398,0.05045897781134261,0.06926457717795663,398,25.404773328523323,{'$numberInt': '0'},{'$numberInt': '0'},1103.0,1117.33,1095.41,1116.37,1538300
47,31,-0.00503417325796993,0,google,0.08803414563831236,0.048516109583202384,0.06218257323612436,312,27.466653439153454,{'$numberInt': '0'},{'$numberInt': '0'},1112.4,1125.0,1104.89,1110.75,1462200
48,34,0.0,0,google,0.057474370264811385,0.05137985227675945,0.029344715212770784,986,56.66972908110402,{'$numberInt': '0'},{'$numberInt': '0'},1112.66,1132.8,1109.02,1132.8,2576500
49,35,0.011643714689265585,1,google,0.0754147684139846,0.0474366050873567,0.019158123421603796,1276,96.22924449624435,{'$numberInt': '0'},{'$numberInt': '0'},1124.84,1146.85,1117.25,1145.99,3552200
50,36,-0.026841420954807627,-1,google,0.07144830334189838,0.049154565273250024,0.04429637955959866,1210,86.45244704369703,{'$numberInt': '0'},{'$numberInt': '0'},1139.57,1147.0,1112.77,1115.23,2105600
51,37,-0.014813087883216898,-1,google,0.08297984268061896,0.0508860966320201,0.06811248067356479,1224,101.56732744107761,{'$numberInt': '0'},{'$numberInt': '0'},1104.16,1104.84,1086.0,1098.71,2044800
52,38,-0.0033220777093137324,0,google,0.058863815735803626,0.05362163290566081,0.07661430481216731,1079,63.51405717893211,{'$numberInt': '0'},{'$numberInt': '0'},1087.0,1098.91,1086.55,1095.06,1075800
53,41,0.0,0,google,0.06938929396057053,0.049454442919588136,0.01962127191193454,1175,81.53242040367037,{'$numberInt': '0'},{'$numberInt': '0'},1096.95,1105.94,1092.86,1095.01,1065200
54,42,0.024072839517447236,1,google,0.08243174463828976,0.05115657487612516,0.02312976465352351,1165,96.03298250360757,{'$numberInt': '0'},{'$numberInt': '0'},1106.8,1125.3,1105.85,1121.37,1609100
55,43,-0.001079037249079081,0,google,0.07526291262782003,0.052159000051025896,0.050607012866286764,1189,89.48760311447802,{'$numberInt': '0'},{'$numberInt': '0'},1124.99,1134.73,1118.5,1120.16,1049800
56,44,0.0013480217111841084,0,google,0.09177881569359425,0.05270394423472898,0.07569465040889344,971,89.11723003848002,{'$numberInt': '0'},{'$numberInt': '0'},1118.05,1128.23,1110.44,1121.67,947600
57,45,-0.0071500530459047505,0,google,0.08085401438673429,0.05396094037943975,0.08315782431990135,978,79.07522607022614,{'$numberInt': '0'},{'$numberInt': '0'},1130.08,1131.67,1110.65,1113.65,1449800
58,49,0.0,0,google,0.08657414205069765,0.04718964104949119,0.0,1141,98.78109607984601,{'$numberInt': '0'},{'$numberInt': '0'},1110.0,1121.89,1110.0,1118.56,1046400
